"","X","rep","processing","sweetener","tiempo","compound","concentration","Temp"
"222","SUP_rep1","rep1","P","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.71,20
"223","ST1_rep2","rep2","1","ST",31.001,"Delphinidin.3.5.O.diglucoside",3.13,4
"224","ST2_rep2","rep2","2","ST",31.001,"Delphinidin.3.5.O.diglucoside",1.84,20
"225","STP_rep2","rep2","P","ST",31.001,"Delphinidin.3.5.O.diglucoside",4.5,4
"226","SU1_rep2","rep2","1","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.53,20
"227","SU2_rep2","rep2","2","SU",31.001,"Delphinidin.3.5.O.diglucoside",2.92,4
"228","SUP_rep2","rep2","P","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.94,20
"229","ST1_rep3","rep3","1","ST",31.001,"Delphinidin.3.5.O.diglucoside",3.12,4
"230","ST2_rep3","rep3","2","ST",31.001,"Delphinidin.3.5.O.diglucoside",1.68,20
"231","STP_rep3","rep3","P","ST",31.001,"Delphinidin.3.5.O.diglucoside",4.28,4
"232","SU1_rep3","rep3","1","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.58,20
"233","SU2_rep3","rep3","2","SU",31.001,"Delphinidin.3.5.O.diglucoside",2.97,4
"234","SUP_rep3","rep3","P","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.78,20
"235","ST1_rep1","rep1","1","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.05,4
"236","ST2_rep1","rep1","2","ST",46.001,"Delphinidin.3.5.O.diglucoside",1.55,20
"237","STP_rep1","rep1","P","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.77,4
"238","SU1_rep1","rep1","1","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.51,20
"239","SU2_rep1","rep1","2","SU",46.001,"Delphinidin.3.5.O.diglucoside",2.67,4
"240","SUP_rep1","rep1","P","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.36,20
"241","ST1_rep2","rep2","1","ST",46.001,"Delphinidin.3.5.O.diglucoside",2.98,4
"242","ST2_rep2","rep2","2","ST",46.001,"Delphinidin.3.5.O.diglucoside",1.56,20
"243","STP_rep2","rep2","P","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.97,4
"244","SU1_rep2","rep2","1","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.5,20
"245","SU2_rep2","rep2","2","SU",46.001,"Delphinidin.3.5.O.diglucoside",2.67,4
"246","SUP_rep2","rep2","P","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.35,20
"247","ST1_rep3","rep3","1","ST",46.001,"Delphinidin.3.5.O.diglucoside",2.98,4
"248","ST2_rep3","rep3","2","ST",46.001,"Delphinidin.3.5.O.diglucoside",1.59,20
"249","STP_rep3","rep3","P","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.64,4
"250","SU1_rep3","rep3","1","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.49,20
"251","SU2_rep3","rep3","2","SU",46.001,"Delphinidin.3.5.O.diglucoside",2.8,4
"252","SUP_rep3","rep3","P","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.34,20
"253","ST1_rep1","rep1","1","ST",61.001,"Delphinidin.3.5.O.diglucoside",2.68,4
"254","ST2_rep1","rep1","2","ST",61.001,"Delphinidin.3.5.O.diglucoside",1.55,20
"255","STP_rep1","rep1","P","ST",61.001,"Delphinidin.3.5.O.diglucoside",3.57,4
"256","SU1_rep1","rep1","1","SU",61.001,"Delphinidin.3.5.O.diglucoside",1.37,20
"257","SU2_rep1","rep1","2","SU",61.001,"Delphinidin.3.5.O.diglucoside",2.61,4
"258","SUP_rep1","rep1","P","SU",61.001,"Delphinidin.3.5.O.diglucoside",1.22,20
"259","ST1_rep2","rep2","1","ST",61.001,"Delphinidin.3.5.O.diglucoside",2.63,4
"260","ST2_rep2","rep2","2","ST",61.001,"Delphinidin.3.5.O.diglucoside",1.35,20
"261","STP_rep2","rep2","P","ST",61.001,"Delphinidin.3.5.O.diglucoside",3.55,4
"262","SU1_rep2","rep2","1","SU",61.001,"Delphinidin.3.5.O.diglucoside",1.4,20
"263","SU2_rep2","rep2","2","SU",61.001,"Delphinidin.3.5.O.diglucoside",2.5,4
"264","SUP_rep2","rep2","P","SU",61.001,"Delphinidin.3.5.O.diglucoside",1.23,20
"265","ST1_rep3","rep3","1","ST",61.001,"Delphinidin.3.5.O.diglucoside",2.77,4
"266","ST2_rep3","rep3","2","ST",61.001,"Delphinidin.3.5.O.diglucoside",1.43,20
"267","STP_rep3","rep3","P","ST",61.001,"Delphinidin.3.5.O.diglucoside",3.44,4
"268","SU1_rep3","rep3","1","SU",61.001,"Delphinidin.3.5.O.diglucoside",1.39,20
"269","SU2_rep3","rep3","2","SU",61.001,"Delphinidin.3.5.O.diglucoside",2.51,4
"270","SUP_rep3","rep3","P","SU",61.001,"Delphinidin.3.5.O.diglucoside",1.24,20
"271","ST1_rep1","rep1","1","ST",91.001,"Delphinidin.3.5.O.diglucoside",2.63,4
"272","ST2_rep1","rep1","2","ST",91.001,"Delphinidin.3.5.O.diglucoside",1.26,20
"273","STP_rep1","rep1","P","ST",91.001,"Delphinidin.3.5.O.diglucoside",2.9,4
"274","SU1_rep1","rep1","1","SU",91.001,"Delphinidin.3.5.O.diglucoside",1.18,20
"275","SU2_rep1","rep1","2","SU",91.001,"Delphinidin.3.5.O.diglucoside",2.21,4
"276","SUP_rep1","rep1","P","SU",91.001,"Delphinidin.3.5.O.diglucoside",1.15,20
"277","ST1_rep2","rep2","1","ST",91.001,"Delphinidin.3.5.O.diglucoside",2.35,4
"278","ST2_rep2","rep2","2","ST",91.001,"Delphinidin.3.5.O.diglucoside",1.25,20
"279","STP_rep2","rep2","P","ST",91.001,"Delphinidin.3.5.O.diglucoside",2.82,4
"280","SU1_rep2","rep2","1","SU",91.001,"Delphinidin.3.5.O.diglucoside",1.27,20
"281","SU2_rep2","rep2","2","SU",91.001,"Delphinidin.3.5.O.diglucoside",2.26,4
"282","SUP_rep2","rep2","P","SU",91.001,"Delphinidin.3.5.O.diglucoside",1.14,20
"283","ST1_rep3","rep3","1","ST",91.001,"Delphinidin.3.5.O.diglucoside",2.24,4
"284","ST2_rep3","rep3","2","ST",91.001,"Delphinidin.3.5.O.diglucoside",1.25,20
"285","STP_rep3","rep3","P","ST",91.001,"Delphinidin.3.5.O.diglucoside",2.83,4
"286","SU1_rep3","rep3","1","SU",91.001,"Delphinidin.3.5.O.diglucoside",1.23,20
"287","SU2_rep3","rep3","2","SU",91.001,"Delphinidin.3.5.O.diglucoside",2.22,4
"288","SUP_rep3","rep3","P","SU",91.001,"Delphinidin.3.5.O.diglucoside",1.23,20
"289","ST1_rep1","rep1","1","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.35,4
"290","ST2_rep1","rep1","2","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.35,20
"291","STP_rep1","rep1","P","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.35,4
"292","SU1_rep1","rep1","1","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.25,20
"293","SU2_rep1","rep1","2","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.25,4
"294","SUP_rep1","rep1","P","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.25,20
"295","ST1_rep2","rep2","1","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.3,4
"296","ST2_rep2","rep2","2","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.3,20
"297","STP_rep2","rep2","P","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.3,4
"298","SU1_rep2","rep2","1","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.25,20
"299","SU2_rep2","rep2","2","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.25,4
"300","SUP_rep2","rep2","P","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.25,20
"301","ST1_rep3","rep3","1","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.27,4
"302","ST2_rep3","rep3","2","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.27,20
"303","STP_rep3","rep3","P","ST",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.27,4
"304","SU1_rep3","rep3","1","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.23,20
"305","SU2_rep3","rep3","2","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.23,4
"306","SUP_rep3","rep3","P","SU",0.00099999999999989,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.23,20
"307","ST1_rep1","rep1","1","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.29,4
"308","ST2_rep1","rep1","2","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.2,20
"309","STP_rep1","rep1","P","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.35,4
"310","SU1_rep1","rep1","1","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.19,20
"311","SU2_rep1","rep1","2","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.04,4
"312","SUP_rep1","rep1","P","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.29,20
"313","ST1_rep2","rep2","1","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.13,4
"314","ST2_rep2","rep2","2","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.19,20
"315","STP_rep2","rep2","P","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.36,4
"316","SU1_rep2","rep2","1","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.05,20
"317","SU2_rep2","rep2","2","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.06,4
"318","SUP_rep2","rep2","P","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.36,20
"319","ST1_rep3","rep3","1","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.17,4
"320","ST2_rep3","rep3","2","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.11,20
"321","STP_rep3","rep3","P","ST",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.31,4
"322","SU1_rep3","rep3","1","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.1,20
"323","SU2_rep3","rep3","2","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.07,4
"324","SUP_rep3","rep3","P","SU",1.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.25,20
"325","ST1_rep1","rep1","1","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.98,4
"326","ST2_rep1","rep1","2","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.76,20
"327","STP_rep1","rep1","P","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.14,4
"328","SU1_rep1","rep1","1","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.79,20
"329","SU2_rep1","rep1","2","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.98,4
"330","SUP_rep1","rep1","P","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.86,20
"331","ST1_rep2","rep2","1","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.02,4
"332","ST2_rep2","rep2","2","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.75,20
"333","STP_rep2","rep2","P","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.19,4
"334","SU1_rep2","rep2","1","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.77,20
"335","SU2_rep2","rep2","2","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.99,4
"336","SUP_rep2","rep2","P","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.83,20
"337","ST1_rep3","rep3","1","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.15,4
"338","ST2_rep3","rep3","2","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.71,20
"339","STP_rep3","rep3","P","ST",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.19,4
"340","SU1_rep3","rep3","1","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.77,20
"341","SU2_rep3","rep3","2","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.98,4
"342","SUP_rep3","rep3","P","SU",8.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.88,20
"343","ST1_rep1","rep1","1","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.96,4
"344","ST2_rep1","rep1","2","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.5,20
"345","STP_rep1","rep1","P","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.11,4
"346","SU1_rep1","rep1","1","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.47,20
"347","SU2_rep1","rep1","2","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.91,4
"348","SUP_rep1","rep1","P","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.71,20
"349","ST1_rep2","rep2","1","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2,4
"350","ST2_rep2","rep2","2","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.46,20
"351","STP_rep2","rep2","P","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.18,4
"352","SU1_rep2","rep2","1","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.49,20
"353","SU2_rep2","rep2","2","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.88,4
"354","SUP_rep2","rep2","P","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.88,20
"355","ST1_rep3","rep3","1","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.96,4
"356","ST2_rep3","rep3","2","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.6,20
"357","STP_rep3","rep3","P","ST",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.08,4
"358","SU1_rep3","rep3","1","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.4,20
"359","SU2_rep3","rep3","2","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.88,4
"360","SUP_rep3","rep3","P","SU",16.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.55,20
"361","ST1_rep1","rep1","1","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.76,4
"362","ST2_rep1","rep1","2","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.02,20
"363","STP_rep1","rep1","P","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.04,4
"364","SU1_rep1","rep1","1","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.98,20
"365","SU2_rep1","rep1","2","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.81,4
"366","SUP_rep1","rep1","P","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.04,20
"367","ST1_rep2","rep2","1","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.83,4
"368","ST2_rep2","rep2","2","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.03,20
"369","STP_rep2","rep2","P","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.12,4
"370","SU1_rep2","rep2","1","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.97,20
"371","SU2_rep2","rep2","2","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.75,4
"372","SUP_rep2","rep2","P","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.18,20
"373","ST1_rep3","rep3","1","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.87,4
"374","ST2_rep3","rep3","2","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.03,20
"375","STP_rep3","rep3","P","ST",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",2.03,4
"376","SU1_rep3","rep3","1","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1,20
"377","SU2_rep3","rep3","2","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.77,4
"378","SUP_rep3","rep3","P","SU",31.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.08,20
"379","ST1_rep1","rep1","1","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.76,4
"380","ST2_rep1","rep1","2","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.85,20
"381","STP_rep1","rep1","P","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.85,4
"382","SU1_rep1","rep1","1","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.81,20
"383","SU2_rep1","rep1","2","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.6,4
"384","SUP_rep1","rep1","P","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.85,20
"385","ST1_rep2","rep2","1","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.74,4
"386","ST2_rep2","rep2","2","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.79,20
"387","STP_rep2","rep2","P","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.9,4
"388","SU1_rep2","rep2","1","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.85,20
"389","SU2_rep2","rep2","2","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.57,4
"390","SUP_rep2","rep2","P","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.83,20
"391","ST1_rep3","rep3","1","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.75,4
"392","ST2_rep3","rep3","2","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.85,20
"393","STP_rep3","rep3","P","ST",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.8,4
"394","SU1_rep3","rep3","1","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.83,20
"395","SU2_rep3","rep3","2","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.7,4
"396","SUP_rep3","rep3","P","SU",46.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.8,20
"397","ST1_rep1","rep1","1","ST",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.67,4
"398","ST2_rep1","rep1","2","ST",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.67,20
"399","STP_rep1","rep1","P","ST",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.77,4
"400","SU1_rep1","rep1","1","SU",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.66,20
"401","SU2_rep1","rep1","2","SU",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.57,4
"402","SUP_rep1","rep1","P","SU",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.7,20
"403","ST1_rep2","rep2","1","ST",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.64,4
"404","ST2_rep2","rep2","2","ST",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.64,20
"405","STP_rep2","rep2","P","ST",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.8,4
"406","SU1_rep2","rep2","1","SU",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.73,20
"407","SU2_rep2","rep2","2","SU",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.58,4
"408","SUP_rep2","rep2","P","SU",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.65,20
"409","ST1_rep3","rep3","1","ST",61.001,"Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",1.66,4
